"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Quintana, Jose",500779,2016,837,21.6,6,".297",".293",33.1,4.5,34.2,"78.012765118","93.183909207",18.6,45.8
"Pineda, Michael",501381,2016,755,27.4,7,".335",".304",35.6,6.7,39.3,"79.597226066","94.022051211",31.2,48.8
"Tillman, Chris",501957,2016,715,19.6,9.2,".317",".330",34.7,7.8,35.3,"79.233002249","93.500010463",21.9,45.7
"Archer, Chris",502042,2016,850,27.4,7.9,".304",".302",29.7,8.4,40.5,"80.17965382","94.340095524",29.6,45.5
"Gibson, Kyle",502043,2016,653,15.9,8.4,".352",".339",32.7,6.1,33.5,"78.176597273","93.341247867",22.7,45.3
"Locke, Jeff",502046,2016,563,13,7.8,".358",".345",31.2,6.5,33.4,"79.107975048","93.662401831",19.3,48.7
"Samardzija, Jeff",502188,2016,829,20.1,6.5,".303",".307",31.1,6.1,35.1,"78.57450771","93.55389312",20.7,48.6
"Leake, Mike",502190,2016,757,16.5,4,".323",".327",29.7,6.2,36.8,"78.379602063","93.866092434",16.3,47.9
"Santiago, Héctor",502327,2016,785,18.3,10.1,".332",".353",33,9.3,39.3,"79.385412198","94.190346703",19.9,46.2
"Anderson, Chase",502624,2016,647,18.5,8.2,".348",".348",38.1,8.7,30,"78.214046228","93.015949605",20.8,45.2
"Peralta, Wily",503449,2016,554,16.8,7.8,".365",".345",34.9,6.7,35.9,"78.8768112","93.881343058",21,44.5
"Nicasio, Juan",504379,2016,513,26.9,8.8,".330",".285",30.3,5,31.6,"78.249718514","93.410485101",24.4,46.7
"Salazar, Danny",517593,2016,584,27.6,10.8,".304",".307",32.4,7.8,44.1,"81.658556591","94.842019148",25.6,47
"Bettis, Chad",518452,2016,814,17,7.2,".332",".330",31.1,5.6,34.9,"78.376797424","93.557475874",21.6,45.1
"Bumgarner, Madison",518516,2016,912,27.5,5.9,".269",".279",29.5,6.7,31.2,"78.651695105","93.234360787",25.9,48.1
"Duffy, Danny",518633,2016,731,25.7,5.7,".305",".308",34.8,7.9,36,"79.742936708","93.732759521",27.3,51.5
"Gee, Dillon",518716,2016,551,16.2,6.7,".348",".330",34.6,6.2,30.1,"76.904223448","92.641790025",18.4,47.1
"Moore, Matt",519043,2016,838,21.2,8.6,".304",".317",30.9,6.4,31.4,"79.032774515","93.295812705",24.2,47
"Nelson, Jimmy",519076,2016,807,17.3,10.7,".345",".327",27.8,5.5,35.1,"78.539410511","93.601808227",19,45
"Pomeranz, Drew",519141,2016,703,26.5,9.2,".286",".279",28.4,7.3,34.4,"77.782632719","93.231277581",25.9,46.2
"Porcello, Rick",519144,2016,890,21.2,3.6,".274",".301",32.8,7,35.1,"77.86729175","93.520286813",18.6,48.4
"Sale, Chris",519242,2016,907,25.7,5,".282",".294",33.5,5.7,33.3,"78.974299831","93.259390777",24.8,49.3
"Pérez, Martín",527048,2016,855,12,8.9,".323",".354",31.5,6,37.4,"79.463669018","93.982063149",18.4,48.1
"Teheran, Julio",527054,2016,758,22,5.4,".281",".298",33.1,6.5,33.6,"78.801189731","93.514894605",24.1,48.6
"Shoemaker, Matt",533167,2016,668,21.4,4.5,".310",".323",35,7,35,"76.84727645","93.427076529",27.1,51.8
"Andriese, Matt",542882,2016,527,20.7,4.7,".307",".309",30.7,7.2,41.2,"82.058028718","94.386511208",23.2,49.4
"Chatwood, Tyler",543022,2016,669,17.5,10.5,".316",".311",28.1,4,35.2,"76.699599181","93.318093815",19.8,45.2
"Cole, Gerrit",543037,2016,506,19.4,7.1,".326",".308",36.1,3,31,"77.69281142","92.927593182",18.9,48.2
"Conley, Adam",543045,2016,583,21.3,10.6,".321",".317",32.6,6.2,31.6,"77.384013785","93.284953229",23.4,46.7
"DeSclafani, Anthony",543101,2016,507,20.7,5.9,".310",".304",34.5,6.3,36.1,"78.873407697","93.461752535",21.5,46
"Eovaldi, Nathan",543135,2016,525,18.5,7.6,".331",".340",31.3,8.5,40.3,"79.138905236","94.41886877",22.1,47.8
"Friedrich, Christian",543184,2016,567,17.6,9.2,".317",".306",28.8,4.1,32.9,"78.124084171","93.418185239",19.3,46.3
"Gray, Sonny",543243,2016,516,18.2,8.1,".349",".333",28.6,6.3,43.4,"79.926266522","94.447179837",20,44.5
"Hendricks, Kyle",543294,2016,745,22.8,5.9,".254",".259",28.9,3.4,26.2,"76.410293878","92.363342796",24.7,43.2
"Koehler, Tom",543408,2016,774,19,10.7,".330",".333",36.4,6.7,33.4,"77.202523385","93.205661946",23.5,44.4
"McHugh, Collin",543521,2016,795,22.3,6.8,".338",".289",33.6,4.7,28.3,"76.699155602","92.67386547",23.9,47.6
"Odorizzi, Jake",543606,2016,773,21.5,7,".306",".317",34.6,8.4,35.9,"80.403831513","93.892650572",21.8,49
"Roark, Tanner",543699,2016,855,20.1,8.5,".282",".306",30.5,5.4,30.3,"77.099292586","92.874983506",21.9,43.8
"Strasburg, Stephen",544931,2016,598,30.6,7.4,".277",".269",36.6,6,33.6,"76.939714365","93.187773591",24.9,49.6
"Bauer, Trevor",545333,2016,811,20.7,8.6,".310",".325",30.3,5.7,39.7,"79.530937546","94.059035186",22.5,44.2
"Iwakuma, Hisashi",547874,2016,836,17.6,5.5,".331",".329",33.5,5.8,33.9,"78.463285455","93.597793685",17.4,48.8
"Tanaka, Masahiro",547888,2016,805,20.5,4.5,".278",".293",31.6,4.3,36.3,"78.535028893","93.74311565",23.3,50.2
"Ventura, Yordano",570649,2016,816,17.6,9.6,".329",".342",30.2,7.8,38.4,"79.682925276","94.09919715",22.1,44.4
"Corbin, Patrick",571578,2016,701,18.7,9.4,".354",".351",31.3,9,36.5,"79.393863443","94.36229232",22.8,45.3
"Fiers, Mike",571666,2016,724,18.5,5.8,".342",".332",35.5,6.1,39.2,"79.698250602","94.093293835",21.6,45.9
"Matz, Steven",571927,2016,547,23.6,5.7,".299",".275",26.4,4.5,36.1,"78.236945714","93.644488956",22.7,47.3
"Paxton, James",572020,2016,511,22.9,4.7,".306",".280",30.6,4.1,41.2,"80.577407377","94.37797112",25.5,49.8
"Keuchel, Dallas",572971,2016,701,20.5,6.8,".317",".306",29.6,6.9,36.9,"77.11993996","93.87472086",23.2,44.1
"Straily, Dan",573185,2016,792,20.5,9.2,".307",".324",35.7,7.5,35,"78.939690712","93.516067978",23.4,47.4
"Stroman, Marcus",573186,2016,854,19.4,6.3,".312",".306",26.5,4.9,41.9,"79.92819657","94.684735397",21.5,47.3
"Foltynewicz, Mike",592314,2016,525,21.1,6.7,".325",".308",31.6,6.2,37,"78.153813901","93.611759148",22,48.2
"Gausman, Kevin",592332,2016,757,23,6.2,".319",".314",31.5,7.2,33.7,"78.357793386","93.493115354",25.4,48.4
"Gray, Jon",592351,2016,711,26,8.3,".307",".310",36,6.2,34.7,"77.573562329","93.545400457",26.5,49
"Ray, Robbie",592662,2016,776,28.1,9.1,".332",".317",32.2,6.9,39.3,"79.578419784","94.224562138",26.6,46.6
"Sanchez, Aaron",592717,2016,790,20.4,8,".277",".313",27.5,6.1,39.8,"79.37410574","94.444513755",21,43.5
"Smyly, Drew",592767,2016,738,22.6,6.6,".323",".300",34,6.7,31,"77.317629882","93.170192992",25,47.5
"Syndergaard, Noah",592789,2016,744,29.3,5.8,".277",".259",31.8,3.5,31.8,"76.807153632","93.207222073",30.4,50.4
"Velasquez, Vince",592826,2016,551,27.6,8.2,".328",".313",37.4,7.9,34,"78.239107","93.626838",27.1,47.1
"Walker, Taijuan",592836,2016,573,20.8,6.5,".326",".321",34,9,36.7,"79.438520545","93.811845112",22.5,48.2
"Martinez, Carlos",593372,2016,809,21.5,8.7,".286",".283",24.7,3.8,30.5,"76.668594502","92.848051624",23.1,47.1
"deGrom, Jacob",594798,2016,604,23.7,6,".298",".309",32,6.4,31.8,"77.902324949","93.517242374",24.8,49.1
"Eickhoff, Jerad",595191,2016,811,20.6,5.2,".313",".293",32.8,5.7,35,"78.345859552","93.474457478",21.7,45.7
"Bradley, Archie",605151,2016,638,22.4,10.5,".341",".327",33,5.2,37,"79.564942864","94.044966107",21.2,42.7
"Davies, Zach",605200,2016,682,19.8,5.6,".313",".294",31.2,5.2,28.6,"77.566623222","92.832344833",20.3,44.6
"Fernández, José",605228,2016,737,34.3,7.5,".271",".269",36.2,3.8,36.2,"79.88189322","93.485750856",32.8,46
"Finnegan, Brandon",605232,2016,734,19.8,11.4,".324",".347",38.9,8,35.5,"77.669041592","93.589989469",22.6,45.5
"Fulmer, Michael",605242,2016,647,20.4,6.5,".285",".300",28.7,5.8,32.3,"77.486104248","93.376363947",23.4,48.8
"Morgan, Adam",605388,2016,507,18.7,5.7,".369",".354",37.2,7.1,39.3,"78.927744595","94.376183081",24,48.4
"Wisler, Matt",605538,2016,671,17.1,7.3,".323",".335",30,6.4,36.8,"78.575125172","94.253213513",21.2,47.9
"Perdomo, Luis",606131,2016,661,15.9,7,".360",".331",29.6,5.8,40.6,"80.097300643","94.081931308",19.5,46.3
"Rodón, Carlos",607074,2016,714,23.5,7.6,".328",".303",32.5,4.5,35,"79.012157074","93.430907969",23.6,46.3
"Wacha, Michael",608379,2016,606,18.8,7.4,".339",".318",37,6.1,34.1,"77.486563257","93.390775459",18.8,47.5
"Duffey, Tyler",608648,2016,596,19.1,5.4,".369",".358",35.1,9.5,43,"79.893959679","94.577700529",19.7,47.6
"Graveman, Kendall",608665,2016,785,13.8,6,".316",".345",30,5.5,38.7,"79.170138771","94.198862729",18.1,44.7
"Chen, Wei-Yin",612672,2016,520,19.2,4.6,".335",".346",33.8,8.4,37.2,"79.585836737","94.097815567",20.9,48.9
"Maeda, Kenta",628317,2016,716,25,7,".281",".281",34.9,5.4,25.5,"75.543428432","91.917763885",27.5,45.8
"Manaea, Sean",640455,2016,594,20.9,6.2,".306",".321",31,6.8,38.9,"79.451843578","94.386920025",25.2,52.1
"Colon, Bartolo",112526,2017,648,13.7,5.4,".381",".351",34,7.3,37.4,"77.971227891","93.973900841",12.7,46.8
"Sabathia, CC",282332,2017,623,19.3,8,".309",".315",32.4,4,28.9,"72.833064725","92.656570736",21.2,46.2
"Dickey, R.A.",285079,2017,815,16.7,8.2,".334",".318",30.9,4.3,30.8,"75.232212544","92.575979634",21,47.4
"Lackey, John",407793,2017,731,20.4,7.3,".331",".344",34.8,6.8,36.2,"77.411569084","93.589858625",23.1,47.5
"Wainwright, Adam",425794,2017,546,17.6,8.2,".340",".327",34.8,4.3,33.8,"75.321550918","93.09279867",18.4,44.3
"Greinke, Zack",425844,2017,801,26.8,5.6,".282",".287",31.6,7.4,30.9,"76.531302652","93.147849508",29,46.2
"Santana, Ervin",429722,2017,863,19.4,7.1,".291",".300",29.8,5.9,30.1,"74.555954838","92.70750678",23.4,48.5
"Cain, Matt",430912,2017,567,13.2,8.6,".358",".361",34.9,6.1,36.6,"78.205979116","93.554518462",12.6,43.5
"Hamels, Cole",430935,2017,614,17.1,8.6,".301",".327",32.1,5.4,36,"77.039547955","93.468307727",21.5,46.8
"Verlander, Justin",434378,2017,849,25.8,8.5,".285",".315",37.4,7.2,35.6,"76.196477055","93.56629623",23.6,49.3
"Jiménez, Ubaldo",434622,2017,648,21.5,9,".379",".358",35.7,7.8,39.5,"78.560234136","94.179600432",21,42.8
"Hammel, Jason",434628,2017,804,18,6,".329",".345",35.5,7.1,33.9,"77.770795017","93.393397793",21.5,48
"Nolasco, Ricky",445060,2017,786,18.2,7.4,".357",".365",36.6,8.4,40,"79.727428951","94.38914035",25.4,45.9
"Chavez, Jesse",445926,2017,586,20.3,7.7,".348",".354",38.3,8.8,40.8,"77.769452548","94.233176178",20.8,44.3
"Kluber, Corey",446372,2017,777,34.1,4.6,".240",".248",33.8,5.3,29.2,"73.482502112","92.579947586",33.6,49.1
"Hill, Rich",448179,2017,552,30.1,8.9,".280",".278",31.4,7,29.1,"74.895332166","92.59006262",28.1,45.5
"Shields, James",448306,2017,516,20,10.3,".348",".354",35.6,8.7,37.6,"76.460443107","93.567303853",24.7,44.4
"García, Jaime",448802,2017,673,19.2,9.5,".324",".325",31.9,5.4,36.8,"75.305531144","93.646062945",26,46.4
"Morton, Charlie",450203,2017,617,26.4,8.1,".301",".294",32.6,4.6,29.8,"73.588319689","92.67287439",26.1,44.8
"Vargas, Jason",450306,2017,756,17.7,7.7,".326",".325",33.8,5.5,32.7,"76.494210109","92.888416733",23.6,43.4
"Gallardo, Yovani",451596,2017,578,16.3,10.4,".349",".356",34.1,7.1,35.1,"77.176924783","93.774949153",20.6,44.3
"Lester, Jon",452657,2017,763,23.6,7.9,".320",".304",34.1,5.4,29.5,"75.657403976","92.577866844",25.2,45.4
"Kennedy, Ian",453178,2017,655,20,9.3,".338",".359",35.4,10.9,35.8,"79.636653067","93.946074244",22.6,45.7
"Scherzer, Max",453286,2017,779,34.4,6.9,".247",".243",31.4,5.6,29.5,"76.053612615","92.471210917",32.2,52
"Richard, Clayton",453385,2017,858,17.6,6.9,".357",".325",29.1,4.4,33.3,"75.946296741","93.477245504",20.6,48.5
"Arrieta, Jake",453562,2017,707,23.1,7.8,".306",".305",31.3,5.6,33.3,"76.739003445","93.043328674",21.3,44.1
"González, Miguel",456068,2017,684,14.6,8,".337",".341",34.4,6.7,35.9,"78.218753527","93.29712099",15.2,47.6
"Cueto, Johnny",456501,2017,648,21,8.2,".347",".354",39.7,7.3,33.6,"77.636625","93.393625241",23.2,49.2
"Happ, J.A.",457918,2017,626,22.7,7.3,".301",".291",33.3,4.3,30.9,"74.125082824","92.857653944",22.1,47.7
"Lynn, Lance",458681,2017,776,19.7,10.1,".305",".315",32.3,5.8,27.5,"75.979605172","92.614986169",22.7,44.9
"Tomlin, Josh",458708,2017,585,18.6,2.4,".340",".351",39.3,7,36.6,"77.664868973","93.701737589",19.5,48.9
"Pelfrey, Mike",460059,2017,546,14.5,11.4,".362",".356",29.9,7.6,37.2,"76.597206041","93.624794656",17.4,40.5
"Gonzalez, Gio",461829,2017,827,22.7,9.6,".281",".295",29.5,4.9,27.9,"75.115433494","92.514745688",22.3,42.3
"Estrada, Marco",462136,2017,806,21.8,8.8,".333",".305",30.8,7,30.2,"76.270660362","92.870869528",24.2,49.3
"Nova, Iván",467100,2017,785,16.7,4.6,".330",".341",34,6.5,36.8,"79.549556807","93.808280474",17.9,50.5
"Chacín, Jhoulys",468504,2017,765,20,9.4,".302",".307",29.1,5.7,28.4,"75.784707597","92.380081553",20.5,42.6
"Carrasco, Carlos",471911,2017,798,28.3,5.8,".289",".295",34.1,7.4,34.6,"75.954064646","93.471092998",29.8,48.9
"Hellickson, Jeremy",476451,2017,695,13.8,6.8,".338",".351",35.3,6.4,34.7,"76.992957681","93.326679048",18.1,48
"Kershaw, Clayton",477132,2017,678,29.8,4.4,".258",".263",30.5,6.3,27.1,"74.004493868","92.361550426",29.9,51.7
"Cashner, Andrew",488768,2017,704,12.2,9.1,".304",".330",32.3,3.9,32.3,"75.696292841","93.277513974",14.9,44.7
