"last_name, first_name","player_id","year","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","b_total_bases","woba"
"Ruiz, Carlos",434563,2016,3,14.2,11.6,".264",".348",".365","0.713","15","70",".321"
"Soto, Geovany",434567,2016,4,24.4,7,".269",".487",".321","0.808","9","38",".345"
"Hammel, Jason",434628,2016,0,34.8,1.4,".246",".292",".258","0.550","7","19",".240"
"Pagán, Ángel",434636,2016,12,12.2,7.8,".277",".418",".331","0.749","55","207",".324"
"Davis, Rajai",434658,2016,12,21.4,6.7,".249",".388",".306","0.694","48","176",".302"
"Ramirez, Hanley",434670,2016,30,19.4,9.7,".286",".505",".361","0.866","111","277",".367"
"Morales, Kendrys",434778,2016,30,19.4,7.8,".263",".468",".327","0.795","93","261",".339"
"Kendrick III, Howie",435062,2016,8,17.7,9.2,".255",".366",".326","0.692","40","178",".303"
"Napoli, Mike",435063,2016,34,30.1,12.1,".239",".465",".335","0.800","101","259",".343"
"Wilson, Bobby",435064,2016,7,25.5,4.4,".237",".355",".270","0.625","33","81",".270"
"Kinsler, Ian",435079,2016,28,16.9,6.6,".288",".484",".348","0.832","83","299",".356"
"Andino, Robert",435180,2016,0,16.7,0,".292",".292",".292","0.584","1","7",".256"
"McCarthy, Brandon",435221,2016,0,40,13.3,".000",".000",".133","0.133","1","0",".092"
"McCann, Brian",435263,2016,20,20.1,11,".242",".413",".335","0.748","58","177",".326"
"Walker, Neil",435522,2016,23,18.3,9.2,".282",".476",".347","0.823","55","196",".351"
"Suzuki, Kurt",435559,2016,8,12.9,4.8,".258",".403",".301","0.704","49","139",".303"
"Desmond, Ian",435622,2016,22,23.6,6.5,".285",".446",".335","0.781","86","279",".336"
"Cruz Jr., Nelson",443558,2016,43,23.8,9.3,".287",".555",".360","0.915","105","327",".383"
"Jaso, John",444379,2016,8,17.1,10.4,".268",".413",".353","0.766","42","157",".335"
"Trumbo, Mark",444432,2016,47,25.5,7.6,".256",".533",".316","0.849","108","327",".358"
"Peralta, David",444482,2016,4,23,4.4,".251",".433",".295","0.728","15","74",".308"
"Piña, Manny",444489,2016,2,18.5,12.3,".254",".394",".346","0.740","12","28",".326"
"Ethier, Andre",444843,2016,1,23.1,7.7,".208",".375",".269","0.644","2","9",".263"
"Escobar, Alcides",444876,2016,7,14.1,4,".261",".350",".292","0.642","55","223",".278"
"Jay, Jon",445055,2016,2,20.9,5.1,".291",".389",".339","0.728","26","135",".318"
"Prado, Martín",445988,2016,8,10.5,7.4,".305",".417",".359","0.776","75","250",".335"
